#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
BAC98762.1	NukF	BGC0000539_c1	Nukacin_ISK-1_biosynthetic_gene_cluster	98	95.6953642384	543	1.8e-154
AAC72253.1	LctF	BGC0000521_c1	Lacticin_481_biosynthetic_gene_cluster	57	99.0066225166	334	1.7e-91
CAB60255.1	MrsF_protein	BGC0000527_c1	Mersacidin_biosynthetic_gene_cluster	51	98.6754966887	289	6.2e-78
EEM14533.1	ABC_transporter,_ATP-binding_protein	BGC0001210_c1	Pseudomycoicidin_biosynthetic_gene_cluster	53	92.7152317881	267	2.5e-71
ACX68646.1	transport_ATP-binding_protein	BGC0000547_c1	Salivaricin_9_biosynthetic_gene_cluster	46	100.0	252	8.4e-67
CAB93668.2	RumF_protein	BGC0000545_c1	Ruminococcin_A_biosynthetic_gene_cluster	58	72.1854304636	251	1.1e-66
ABI30231.1	McdF	BGC0000526_c1	Macedocin_biosynthetic_gene_cluster	44	100.331125828	241	1.1e-63
AHX39585.1	ABC_transporter_protein	BGC0000626_c1	Thuricin_biosynthetic_gene_cluster	42	99.0066225166	236	4.8e-62
CAN02020.1	putative_ABC_transporter,_ATP-binding_protein	BGC0000528_c1	Michiganin_A_biosynthetic_gene_cluster	44	98.6754966887	236	4.8e-62
AAB92604.1	ScnF	BGC0000557_c1	Streptococcin_A-FF22_biosynthetic_gene_cluster	44	100.662251656	225	6.5e-59
AAD21213.1	BcrA	BGC0000310_c1	Bacitracin_biosynthetic_gene_cluster	40	100.993377483	218	7.9e-57
ABO65658.1	Putative_ABC_transporter_ATP-binding_protein	BGC0000515_c1	Geobacillin_I_biosynthetic_gene_cluster	48	75.4966887417	212	5.7e-55
ACA51937.2	BovF	BGC0000498_c1	Bovicin_HJ50_biosynthetic_gene_cluster	40	97.6821192053	212	7.4e-55
BAJ10688.1	hypothetical_bacteriocin_immunity_protein	BGC0000561_c1	Thermophilin_1277_biosynthetic_gene_cluster	39	97.6821192053	207	2.4e-53
AAB91597.1	SpaF	BGC0000559_c1	Subtilin_biosynthetic_gene_cluster	48	72.1854304636	198	1.4e-50
AEK64496.1	EtnF	BGC0000506_c1	Entianin_biosynthetic_gene_cluster	44	78.4768211921	197	2.5e-50
AAL15571.1	putative_SpaF	BGC0000511_c1	Ericin_A_biosynthetic_gene_cluster	45	75.4966887417	197	2.5e-50
BAB08166.1	SrtF	BGC0000556_c1	Streptin_biosynthetic_gene_cluster	45	74.5033112583	195	9.4e-50
AHF21231.1	PabF	BGC0000542_c1	Paenicidin_B_biosynthetic_gene_cluster	41	76.821192053	178	1.5e-44
WP_042386113.1	antibiotic_ABC_transporter_ATP-binding_protein	BGC0001170_c1	Clostridiolysin_S_biosynthetic_gene_cluster	35	100.662251656	175	1e-43
CCQ18687.1	ABC_transporter_ATP-binding_protein	BGC0000544_c1	Planosporicin_biosynthetic_gene_cluster	45	70.1986754967	174	1.7e-43
AFW17839.1	PaeF	BGC0000541_c1	Paenicidin_A_biosynthetic_gene_cluster	40	74.5033112583	173	2.9e-43
AEX55154.1	putative_lantibiotic_transport_ATP-binding_protein_SlvF	BGC0000549_c1	Salivaricin_D_biosynthetic_gene_cluster	43	73.178807947	173	5e-43
CAL82046.1	putative_cytolysin_ABC_transporter,_ATP-binding_protein	BGC0000564_c1	Clostridiolysin_S_biosynthetic_gene_cluster	34	100.662251656	173	5e-43
ADK32562.1	putative_lantibiotic_ABC_transporter_ATP-binding_protein	BGC0000529_c1	Microbisporicin_biosynthetic_gene_cluster	40	70.1986754967	170	3.2e-42
WP_009985599.1	multidrug_ABC_transporter	BGC0001311_c1	Flavecin_biosynthetic_gene_cluster	39	73.178807947	168	9.4e-42
ANP43737.1	ThsF	BGC0001391_c1	Thusin_biosynthetic_gene_cluster	35	96.0264900662	168	1.6e-41
BAG71487.1	immunity_protein	BGC0000536_c1	Nisin_Q_biosynthetic_gene_cluster	43	68.8741721854	166	4.7e-41
BAQ25488.1	multidrug_ABC_transporter_ATP-binding_protein	BGC0001288_c1	Maklamicin_biosynthetic_gene_cluster	34	99.3377483444	165	7.9e-41
ADJ56360.1	NisF	BGC0000535_c1	Nisin_A_biosynthetic_gene_cluster	43	68.8741721854	163	3e-40
CAB38595.1	putative_ABC_transporter_ATP-binding_protein	BGC0000315_c1	Calcium-dependent_antibiotic_biosynthetic_gene_cluster	33	100.993377483	160	2.6e-39
ABA00875.1	NsuF	BGC0000537_c1	Nisin_U_biosynthetic_gene_cluster	43	68.2119205298	160	4.4e-39
ALV82359.1	ABC_transporter_ATP-binding_protein	BGC0001370_c1	Lipopeptide_8D1-1_/_lipopeptide_8D1-2_biosynthetic_gene_cluster	33	100.993377483	160	4.4e-39
AHZ61838.1	Lom4	BGC0000240_c1	Lomaiviticin_biosynthetic_gene_cluster	34	99.3377483444	159	7.4e-39
ALV86877.1	Tlo31	BGC0001406_c1	Telomycin_biosynthetic_gene_cluster	33	100.993377483	155	1.1e-37
ABP54626.1	ABC_transporter_related	BGC0000241_c1	Lomaiviticin_biosynthetic_gene_cluster	34	99.3377483444	155	1.4e-37
ABC94899.1	GdmF	BGC0000514_c1	Gallidermin_biosynthetic_gene_cluster	43	65.2317880795	148	1e-35
WP_007385816.1	ABC_transporter_ATP-binding_protein	BGC0000579_c1	SSV-2083_biosynthetic_gene_cluster	36	72.8476821192	144	1.9e-34
AAZ76598.1	BhtF	BGC0000497_c1	BhtA1_/_BhtA2_biosynthetic_gene_cluster	33	89.4039735099	141	1.2e-33
ABS75252.1	putative_ABC-transporter_ATP-binding_protein	BGC0000616_c1	Amylocyclicin_biosynthetic_gene_cluster	35	75.8278145695	141	1.2e-33
AAK33690.1	putative_ABC_transporter_(ATP-binding_protein)	BGC0000566_c1	Streptolysin_S_biosynthetic_gene_cluster	31	100.331125828	141	1.2e-33
AAM70341.1	CalT5	BGC0000033_c1	Calicheamicin_biosynthetic_gene_cluster	35	72.8476821192	141	1.2e-33
