#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
BAP34737.1	ABC-type_multidrug_transport_system	BGC0000078_c1	Incednine_biosynthetic_gene_cluster	47	82.1138211382	251	1.8e-66
BAO66521.1	ABC_transporter	BGC0000042_c1	Cremimycin_biosynthetic_gene_cluster	47	82.1138211382	247	1.9e-65
AAD44229.1	DrrA	BGC0000362_c1	Glycopeptidolipid_biosynthetic_gene_cluster	48	78.0487804878	247	1.9e-65
BAH04156.1	putative_ABC_transporter	BGC0000450_c1	Triostin_A_biosynthetic_gene_cluster	49	80.7588075881	244	2.1e-64
AAX31553.1	putative_ABC_transporter_ATP-binding_protein	BGC0000336_c1	Daptomycin_biosynthetic_gene_cluster	45	83.7398373984	244	2.1e-64
AEG64685.1	Daunorubicin_resistance_ABC_transporter_ATPase_subunit	BGC0000379_c1	Laspartomycin_biosynthetic_gene_cluster	46	85.6368563686	240	2.4e-63
ABC00731.1	CosI	BGC0000214_c1	Cosmomycin_biosynthetic_gene_cluster	43	89.4308943089	240	3.1e-63
KDN80071.1	ABC_transporter	BGC0001074_c1	Cosmomycin_D_biosynthetic_gene_cluster	43	89.4308943089	240	3.1e-63
WP_029025941.1	ABC_transporter	BGC0000198_c1	Arenimycin_B_biosynthetic_gene_cluster	46	81.8428184282	239	6.9e-63
BAB72059.1	AcrV	BGC0000191_c1	Aclacinomycin_biosynthetic_gene_cluster	46	81.5718157182	236	5.8e-62
CBW45686.1	putative_ABC_transporter_ATP-binding_protein	BGC0000952_c2	Pristinamycin_biosynthetic_gene_cluster	45	85.6368563686	235	1e-61
AAG32068.1	putative_ATP_binding_protein	BGC0000026_c1	Avilamycin_A_biosynthetic_gene_cluster	47	77.5067750678	234	1.7e-61
AHH53501.1	ABC_transporter_ATP-binding_subunit	BGC0000439_c1	Taromycin_biosynthetic_gene_cluster	45	79.674796748	233	3.8e-61
WP_028678143.1	daunorubicin_resistance_protein_DrrA_family_ABC_transporter_ATP-binding_protein	BGC0001228_c1	Retimycin_biosynthetic_gene_cluster	46	80.7588075881	233	4.9e-61
