#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
BAH33406.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000371_c1	Heterobactin_biosynthetic_gene_cluster	45	97.0790378007	438	9.4e-123
CBA63660.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000368_c1	Griseobactin_biosynthetic_gene_cluster	46	95.704467354	422	6.9e-118
AAZ55904.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000359_c1	Fuscachelin_biosynthetic_gene_cluster	42	97.5945017182	420	3.4e-117
ABS75234.1	DhbE	BGC0001185_c1	Bacillibactin_biosynthetic_gene_cluster	43	95.8762886598	418	1.7e-116
CAB15188.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000309_c1	Bacillibactin_biosynthetic_gene_cluster	43	95.1890034364	409	6.1e-114
AAG31128.1	MxcE	BGC0001345_c1	Myxochelin_biosynthetic_gene_cluster	41	100.171821306	404	2.6e-112
ACU36660.1	AMP-dependent_synthetase_and_ligase	BGC0000392_c1	Mirubactin_biosynthetic_gene_cluster	42	97.5945017182	397	3.1e-110
AEI70243.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000401_c1	Paenibactin_biosynthetic_gene_cluster	42	94.6735395189	396	5.3e-110
AMK48234.1	salicylate-AMP_ligase	BGC0001351_c1	Cahuitamycins_biosynthetic_gene_cluster	41	95.5326460481	393	3.5e-109
AAO07759.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000460_c1	Vulnibactin_biosynthetic_gene_cluster	39	94.3298969072	366	5.9e-101
NP_230421.1	vibriobactin-specific_2,3-dihydroxybenzoate-AMP_ligase	BGC0000945_c1	Vibriobactin_biosynthetic_gene_cluster	39	95.0171821306	356	6.1e-98
ACY02013.1	enterobactin_synthase_subunit_E	BGC0000343_c1	Enterobactin_biosynthetic_gene_cluster	41	95.3608247423	354	3e-97
AFB35629.1	EsmD2	BGC0000935_c1	Esmeraldin_biosynthetic_gene_cluster	38	95.704467354	351	2.6e-96
CAJ45636.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000454_c1	Vanchrobactin_biosynthetic_gene_cluster	39	95.8762886598	351	2.6e-96
ACR11042.1	Enterobactin_synthetase_component_E/2,3-dihydroxybenzoate-AMP_ligase	BGC0000451_c1	Turnerbactin_biosynthetic_gene_cluster	40	94.5017182131	350	4.4e-96
CBW45758.1	PI_synthetase_1	BGC0000952_c3	Pristinamycin_biosynthetic_gene_cluster	38	96.0481099656	341	2e-93
CAC17498.1	putative_AMP-binding_ligase	BGC0000324_c1	Coelibactin_biosynthetic_gene_cluster	38	96.0481099656	341	2.7e-93
AGE11892.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000366_c1	Gobichelin_biosynthetic_gene_cluster	37	95.0171821306	339	1e-92
EYT83445.1	Triostin_synthetase_I	BGC0001213_c1	Nataxazole_biosynthetic_gene_cluster	35	95.3608247423	335	1.1e-91
EFL06871.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000300_c1	Amychelin_biosynthetic_gene_cluster	40	95.704467354	335	1.5e-91
AEF33098.1	3-hydroxypicolinic_acid:AMP_ligase	BGC0001039_c1	Pyridomycin_biosynthetic_gene_cluster	37	95.5326460481	334	3.2e-91
ALE27504.1	3-HPA:AMP_ligase	BGC0001292_c1	A33853_biosynthetic_gene_cluster	36	95.3608247423	328	1.4e-89
CAG69514.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000352_c1	Fimsbactin_biosynthetic_gene_cluster	36	95.8762886598	322	9.8e-88
CCP45172.1	Bifunctional_enzyme_MbtA:_salicyl-AMP_ligase_(SAL-AMP_ligase)_+_salicyl-S-ArCP_synthetase	BGC0001021_c1	Mycobactin_biosynthetic_gene_cluster	36	95.1890034364	322	1.3e-87
AGN74880.1	3-hydroxypicolinic_acid:AMP_ligase	BGC0000459_c1	Griseoviridin_/_viridogrisein_biosynthetic_gene_cluster	36	95.5326460481	319	1.1e-86
BAC87906.1	probable_acinetobactin_biosynthesis_protein	BGC0000294_c1	Acinetobactin_biosynthetic_gene_cluster	35	95.5326460481	314	2e-85
CAJ34366.1	putative_3-hydroxy-quinaldate-AMP-Ligase	BGC0000445_c1	Thiocoraline_biosynthetic_gene_cluster	35	94.1580756014	311	1.7e-84
CCC55917.1	putative_acyl_CoA_ligase	BGC0000973_c1	Collismycin_A_biosynthetic_gene_cluster	34	96.9072164948	311	2.9e-84
ADE34495.1	SsfL1	BGC0000269_c1	SF2575_biosynthetic_gene_cluster	36	95.5326460481	303	6.1e-82
AAO07763.1	2,3-dihydroxybenzoate-AMP_ligase	BGC0000460_c1	Vulnibactin_biosynthetic_gene_cluster	36	94.8453608247	302	1.4e-81
ADB92576.1	Ccb2	BGC0001225_c1	Celesticetin_biosynthetic_gene_cluster	35	91.9243986254	297	4.4e-80
ABY66018.1	CoA_ligase	BGC0001008_c1	Maduropeptin_biosynthetic_gene_cluster	35	95.3608247423	293	4.9e-79
BAI63284.1	putative_peptide_arylation_enzyme	BGC0000434_c1	SW-163_biosynthetic_gene_cluster	34	94.6735395189	290	5.4e-78
BAH04171.1	AMP-binding_ligase	BGC0000450_c1	Triostin_A_biosynthetic_gene_cluster	34	94.1580756014	289	7e-78
AAM77987.1	adenylate_ligase	BGC0000112_c1	Neocarzinostatin_biosynthetic_gene_cluster	34	96.5635738832	287	2.7e-77
AFD30957.1	CrmE	BGC0000966_c1	Caerulomycin_A_biosynthetic_gene_cluster	36	92.6116838488	281	2.5e-75
AEM06018.2	hypothetical_protein	BGC0000966_c1	Caerulomycin_A_biosynthetic_gene_cluster	36	92.6116838488	281	2.5e-75
AET98914.1	putative_AMP-binding_ligase	BGC0000415_c1	Quinomycin_biosynthetic_gene_cluster	33	94.5017182131	280	3.3e-75
BAE98151.1	putative_AMP-binding_ligase	BGC0000339_c1	Echinomycin_biosynthetic_gene_cluster	34	94.8453608247	280	3.3e-75
ACN64830.1	PokM3	BGC0001061_c1	Polyketomycin_biosynthetic_gene_cluster	34	95.0171821306	276	6.2e-74
