#Protein	Description	MiBIG Cluster	MiBIG Product	Percent ID	Percent Coverage	BLAST Score	 Evalue
CBJ79915.1	putative_Phenylalanine_racemase_(ATP-hydrolyzing)	BGC0001133_c1	Taxlllaid_biosynthetic_gene_cluster	29	100.621118012	176	5.5e-44
ABL74945.1	TlmIV	BGC0001048_c1	Tallysomycin_biosynthetic_gene_cluster	28	96.4803312629	175	1.6e-43
CAD17793.1	probable_non_ribosomal_peptide_synthetase_protein	BGC0001363_c1	Ralsolamycin_biosynthetic_gene_cluster	30	91.5113871636	171	1.8e-42
CAJ34381.1	NRPS_protein	BGC0000445_c1	Thiocoraline_biosynthetic_gene_cluster	29	91.0973084886	171	1.8e-42
KPN93065.1	NunD	BGC0001416_c1	Nunapeptin_/_nunamycin_biosynthetic_gene_cluster	30	92.7536231884	171	3e-42
AHD05677.1	nonribosomal_peptide_ligase_subunit	BGC0000402_c1	Paenilarvins_biosynthetic_gene_cluster	30	92.7536231884	170	5.2e-42
ABS74180.1	BmyB	BGC0001090_c1	Bacillomycin_biosynthetic_gene_cluster	27	91.718426501	169	1.1e-41
ABS74207.1	FenC	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	27	93.3747412008	169	1.1e-41
BAB69699.1	iturin_A_synthetase_B	BGC0001098_c1	Iturin_biosynthetic_gene_cluster	27	91.718426501	168	1.5e-41
ABS74209.1	FenA	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	28	94.4099378882	168	1.5e-41
AAC06346.1	bacitracin_synthetase_1	BGC0000310_c1	Bacitracin_biosynthetic_gene_cluster	28	93.7888198758	167	3.3e-41
ABS74206.1	FenD	BGC0001095_c1	Fengycin_biosynthetic_gene_cluster	28	92.5465838509	167	3.3e-41
AEW31022.1	plipastatin_synthetase	BGC0000407_c1	Plipastatin_biosynthetic_gene_cluster	29	91.9254658385	166	5.7e-41
AEH59100.1	amino_acid_adenylation_domain-containing_protein/NRPS	BGC0000385_c1	Lysobactin_biosynthetic_gene_cluster	28	92.5465838509	166	9.7e-41
AAS47564.1	mixed_type_I_polyketide_synthase/nonribosomal_peptide_synthetase	BGC0001108_c1	Pederin_biosynthetic_gene_cluster	29	93.9958592133	163	4.8e-40
ctg1_orf6		BGC0001109_c1	Pederin_biosynthetic_gene_cluster	29	93.9958592133	163	4.8e-40
BAH43766.1	tyrocidine_synthetase_III	BGC0000452_c1	Tyrocidine_biosynthetic_gene_cluster	27	94.4099378882	163	8.2e-40
AAY91420.2	non-ribosomal_peptide_synthetase_OfaB	BGC0000399_c1	Orfamide_biosynthetic_gene_cluster	29	91.9254658385	163	8.2e-40
CAC17499.1	putative_non-ribosomal_peptide_synthase	BGC0000324_c1	Coelibactin_biosynthetic_gene_cluster	29	94.4099378882	162	1.1e-39
CUI25728.1	Nonribosomal_peptide_synthase	BGC0001355_c1	U-68204_biosynthetic_gene_cluster	27	92.5465838509	162	1.1e-39
ACA09733.2	fusaricidin_synthetase	BGC0000358_c1	Fusaricidin_biosynthetic_gene_cluster	27	96.2732919255	162	1.4e-39
AAG02359.1	peptide_synthetase_NRPS5-4-3	BGC0000963_c1	Bleomycin_biosynthetic_gene_cluster	29	101.035196687	160	4.1e-39
AIW82282.1	PuwE	BGC0001125_c1	Puwainaphycins_biosynthetic_gene_cluster	28	99.7929606625	160	4.1e-39
AAF17280.1	NosC	BGC0001028_c1	Nostopeptolide_biosynthetic_gene_cluster	27	93.7888198758	160	5.3e-39
CAN89656.1	putative_non-ribosomal_peptide_synthetase	BGC0001070_c1	Kirromycin_biosynthetic_gene_cluster	27	93.1677018634	160	7e-39
AFK57212.1	DidA	BGC0000985_c1	Didemnin_biosynthetic_gene_cluster	28	94.2028985507	159	1.2e-38
BAP16699.1	nonribosomal_peptide_synthetase	BGC0000376_c1	JBIR-34,_JBIR-35_biosynthetic_gene_cluster	29	91.5113871636	158	1.6e-38
CAD70195.1	non-ribosomal_peptide_synthetase	BGC0001047_c1	Syringolin_A_biosynthetic_gene_cluster	27	93.5817805383	158	2e-38
ABQ96384.2	fusaricidin_synthetase	BGC0001152_c1	Fusaricidin_biosynthetic_gene_cluster	27	97.1014492754	158	2.6e-38
AAU39361.1	lichenysin_synthase_LchAC	BGC0000381_c1	Lichenysin_biosynthetic_gene_cluster	25	91.3043478261	156	5.9e-38
